,Longitude,Latitude,Rank,Officer Gender,Officer Race,Years of SPD Service,Number of Rounds,Subject Gender,Subject Race,Subject Weapon,Fatal,On-duty,Disposition,Disciplined,Key Phrase,Sentiment,Positivity,Negativity
25,-122.339003,47.6045234,Officer,1,White,8,Multiple,0,White,1,0,1,1,No,"['SWAT Officers', 'subjects', 'Seattle Police Patrol Officers', 'West Seattle', 'Seattle Police Department', 'minutes', 'scene', 'vehicle', 'SWAT Team', 'black airsoft pellet pistol', 'King County Sheriffâ€™s Office', 'KCSO', 'Deputy', 'Wells Fargo Bank', 'California Avenue Southwest', 'downtown', 'extended pursuit', 'traffic', 'subjectâ€™s escape', 'Jeep Cherokee', 'driverâ€™s seat', 'dead', 'foot', 'surrender', 'time']","{'positive': 0.01, 'neutral': 0.12, 'negative': 0.87}",0.01,0.87
27,-122.3096331,47.66747695,Officer,0,White,7,Multiple,0,White,1,1,1,1,No,"['subject', 'Seattle Police Patrol Officers', 'alley', 'apartment', 'WWII era rifle', 'patrol rifles', 'basement door', 'Avenue Northeast', 'times', 'Harborview Medical Center', 'report of shots', 'block', 'bayonet', 'witness', 'dead', 'unit', 'shotgun', 'occupants', 'weapon', 'person']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",0,1
28,-122.3096331,47.66747695,Officer,0,White,10,Multiple,0,White,1,1,1,1,No,"['subject', 'Seattle Police Patrol Officers', 'alley', 'apartment', 'WWII era rifle', 'patrol rifles', 'basement door', 'Avenue Northeast', 'times', 'Harborview Medical Center', 'report of shots', 'block', 'bayonet', 'witness', 'dead', 'unit', 'shotgun', 'occupants', 'weapon', 'person']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",0,1
29,-122.3448961,47.71717447,Officer,0,White,1,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.01,0.85
30,-122.3448961,47.71717447,Officer,0,White,3,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.01,0.85
31,-122.3448961,47.71717447,Officer,0,White,1,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.01,0.85
32,-122.3448961,47.71717447,Officer,0,White,13,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.01,0.85
33,-122.3448961,47.71717447,Officer,0,White,8,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.01,0.85
45,-122.4113922,47.57591476,Student Officer,0,Hispanic/Latino,1,Multiple,0,White,1,0,1,1,No,"['subject', 'officers', 'Seattle Police', 'house', 'caller', 'Student Officer', 'Field Training Officer', 'plain clothes', 'Patrol Sergeant', 'medics', 'report of shots', 'Harborview Medical Center', 'block of Southwest Admiral Way', 'rifle', 'door', 'recent argument', 'father', 'spouse', 'gunshot', 'scene', 'verbal commands', 'Aggravated Assault', 'suicide', 'phone', 'line', 'injuries', 'custody']","{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}",0,0.98
46,-122.4113922,47.57591476,FTO,0,White,16,Multiple,0,White,1,0,1,1,No,"['subject', 'officers', 'Seattle Police', 'house', 'caller', 'Student Officer', 'Field Training Officer', 'plain clothes', 'Patrol Sergeant', 'medics', 'report of shots', 'Harborview Medical Center', 'block of Southwest Admiral Way', 'rifle', 'door', 'recent argument', 'father', 'spouse', 'gunshot', 'scene', 'verbal commands', 'Aggravated Assault', 'suicide', 'phone', 'line', 'injuries', 'custody']","{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}",0,0.98
47,-122.4113922,47.57591476,Sergeant,0,AI/AN,19,Multiple,0,White,1,0,1,1,No,"['subject', 'officers', 'Seattle Police', 'house', 'caller', 'Student Officer', 'Field Training Officer', 'plain clothes', 'Patrol Sergeant', 'medics', 'report of shots', 'Harborview Medical Center', 'block of Southwest Admiral Way', 'rifle', 'door', 'recent argument', 'father', 'spouse', 'gunshot', 'scene', 'verbal commands', 'Aggravated Assault', 'suicide', 'phone', 'line', 'injuries', 'custody']","{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}",0,0.98
48,-122.3142213,47.59147341,Officer,0,White,9,Multiple,0,Asian,1,1,1,1,No,"['subject', 'SWAT Officers', 'Avenue South', 'Seattle', 'fast backup', 'firefighters', 'parked car', 'intersection', 'multiple commands', 'Department', 'request', 'block', 'location', 'welfare check', 'alley', 'cover', 'wheel', 'time', 'handgun', 'weapon', 'Medics', 'scene', 'contact', 'head', 'vehicle']","{'positive': 0.11, 'neutral': 0.18, 'negative': 0.71}",0.11,0.71
49,-122.3142213,47.59147341,Officer,0,White,10,Multiple,0,Asian,1,1,1,1,No,"['subject', 'SWAT Officers', 'Avenue South', 'Seattle', 'fast backup', 'firefighters', 'parked car', 'intersection', 'multiple commands', 'Department', 'request', 'block', 'location', 'welfare check', 'alley', 'cover', 'wheel', 'time', 'handgun', 'weapon', 'Medics', 'scene', 'contact', 'head', 'vehicle']","{'positive': 0.11, 'neutral': 0.18, 'negative': 0.71}",0.11,0.71
50,-122.3142213,47.59147341,Officer,0,Multi-Racial,17,Multiple,0,Asian,1,1,1,1,No,"['subject', 'SWAT Officers', 'Avenue South', 'Seattle', 'fast backup', 'firefighters', 'parked car', 'intersection', 'multiple commands', 'Department', 'request', 'block', 'location', 'welfare check', 'alley', 'cover', 'wheel', 'time', 'handgun', 'weapon', 'Medics', 'scene', 'contact', 'head', 'vehicle']","{'positive': 0.11, 'neutral': 0.18, 'negative': 0.71}",0.11,0.71
52,-122.3237636,47.59583331,Officer,1,White,7,Multiple,0,Black or African American,1,0,1,1,No,"['firearm', 'Seattle Police Patrol Officer', 'disturbance', 'Avenue South', 'South Dearborn', 'area', 'extended distance', 'large number of people', 'parking lot', 'custody', 'subjectsâ€™ path of travel', 'direction', 'magnum revolver', 'foot', 'Assault']","{'positive': 0.01, 'neutral': 0.03, 'negative': 0.96}",0.01,0.96
53,-122.3237636,47.59583331,Officer,1,White,7,Multiple,0,Black or African American,1,0,1,1,No,"['firearm', 'Seattle Police Patrol Officer', 'disturbance', 'Avenue South', 'South Dearborn', 'area', 'extended distance', 'large number of people', 'parking lot', 'custody', 'subjectsâ€™ path of travel', 'direction', 'magnum revolver', 'foot', 'Assault']","{'positive': 0.01, 'neutral': 0.03, 'negative': 0.96}",0.01,0.96
56,-122.3463112,47.61915026,Officer,0,Black,22,Multiple,0,Black or African American,1,0,1,1,No,"['patrol officers', 'bicycle officers', 'subject climbing', 'damaged vehicle', 'uniformed Seattle Police Officers riding Department', 'parking lot', 'Seattle Center', 'emphasis patrol', 'bicycles', 'block of Taylor Avenue North', 'Investigation of Assault', 'King County Jail', 'Bumbershoot Music Festival', 'SUV', 'high rate of speed', 'assistance', 'officer fear', 'shattered window', 'custody', 'foot']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",0,1
57,-122.3463112,47.61915026,Officer,0,White,11,Multiple,0,Black or African American,1,0,1,1,No,"['patrol officers', 'bicycle officers', 'subject climbing', 'damaged vehicle', 'uniformed Seattle Police Officers riding Department', 'parking lot', 'Seattle Center', 'emphasis patrol', 'bicycles', 'block of Taylor Avenue North', 'Investigation of Assault', 'King County Jail', 'Bumbershoot Music Festival', 'SUV', 'high rate of speed', 'assistance', 'officer fear', 'shattered window', 'custody', 'foot']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",0,1
58,-122.2540558,47.50637825,Officer,1,White,19,2,0,Black or African American,1,1,1,1,No,"['uniformed officers', 'house', 'Seattle Police', 'subjectâ€™s alarm company', 'suspicious circumstances', 'medical emergency', 'block of South Bangor', 'Department', 'possible prowler', 'dead', 'scene', 'home', 'handgun']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",0,1
59,-122.2540558,47.50637825,Officer,0,White,7,3,0,Black or African American,1,1,1,1,No,"['uniformed officers', 'house', 'Seattle Police', 'subjectâ€™s alarm company', 'suspicious circumstances', 'medical emergency', 'block of South Bangor', 'Department', 'possible prowler', 'dead', 'scene', 'home', 'handgun']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",0,1
60,-122.3309066,47.62871327,Officer,0,White,16,7,0,Black or African American,1,0,1,1,No,"['Officers', 'subject commands', 'Seattle Police vehicle', 'block of Fairview Avenue east', 'Unlawful Possession', 'exiting crowds', 'bar', 'bail Department of Corrections bench warrant', 'King County Jail', 'uniformed gang detectives', 'parking lot', 'shots', 'clothing', 'Harborview Medical Center', 'handgun', 'custody', 'weapon', 'subjectâ€™s gunshot wounds', 'Firearm', 'officerâ€™s', 'scene']","{'positive': 0.0, 'neutral': 0.03, 'negative': 0.97}",0,0.97
61,-122.3309066,47.62871327,Officer,0,White,14,9,0,Black or African American,1,0,1,1,No,"['Officers', 'subject commands', 'Seattle Police vehicle', 'block of Fairview Avenue east', 'Unlawful Possession', 'exiting crowds', 'bar', 'bail Department of Corrections bench warrant', 'King County Jail', 'uniformed gang detectives', 'parking lot', 'shots', 'clothing', 'Harborview Medical Center', 'handgun', 'custody', 'weapon', 'subjectâ€™s gunshot wounds', 'Firearm', 'officerâ€™s', 'scene']","{'positive': 0.0, 'neutral': 0.03, 'negative': 0.97}",0,0.97
63,-122.362021,47.70296205,Officer,0,White,5,Multiple,0,Native American,1,1,1,-1,Missing,"['subject', 'officers', 'house', 'metal bar', 'head', 'apparent assault attempt', 'possible Domestic Violence hostage', 'knife', 'Harborview Medical Center', 'foot pursuit', 'son', 'Taser', 'fatherâ€™s throat', 'block', 'safety', 'dialogue', 'success', 'dead', 'custody']","{'positive': 0.17, 'neutral': 0.0, 'negative': 0.83}",0.17,0.83
64,-122.362021,47.70296205,Officer,0,White,5,Multiple,0,Native American,1,1,1,-1,Missing,"['subject', 'officers', 'house', 'metal bar', 'head', 'apparent assault attempt', 'possible Domestic Violence hostage', 'knife', 'Harborview Medical Center', 'foot pursuit', 'son', 'Taser', 'fatherâ€™s throat', 'block', 'safety', 'dialogue', 'success', 'dead', 'custody']","{'positive': 0.17, 'neutral': 0.0, 'negative': 0.83}",0.17,0.83
