,Longitude,Latitude,Rank,Officer Gender,Officer Race,Years of SPD Service,Number of Rounds,Subject Gender,Subject Race,Subject Weapon,Fatal,On-duty,Disposition,Disciplined,Key Phrase,Sentiment,Positivity,Negativity
93,-122.2794885,47.54511033,POLICE OFFICER,0,AI/AN,7,5,0,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
94,-122.2794885,47.54511033,POLICE OFFICER,0,AI/AN,7,5,1,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
95,-122.2794885,47.54511033,POLICE OFFICER,0,White,5,2,0,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
96,-122.2794885,47.54511033,POLICE OFFICER,0,White,5,2,0,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
97,-122.2794885,47.54511033,POLICE OFFICER,0,AI/AN,7,5,0,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
98,-122.2794885,47.54511033,POLICE OFFICER,1,White,7,2,0,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
99,-122.2794885,47.54511033,POLICE OFFICER,0,White,5,2,1,Black or African American,0,0,1,0,No,"['OPA', 'Seattle Police Officers', 'street', 'discipline', 'shooting', 'Force Review Board', 'block of South Eddy', 'domestic violence report', 'distance', 'caliber handgun', ""Chief O'Toole"", 'defensive positions', 'gunshots', 'male subject', 'policy', 'area', 'occupants', 'vehicles', 'weapons', 'car']","{'positive': 0.13, 'neutral': 0.14, 'negative': 0.73}",0.13,0.73
103,-122.290325,47.67759946,POLICE OFFICER,0,Hispanic or Latino,13,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
104,-122.290325,47.67759946,POLICE STUDENT OFFICER,0,White,1,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
105,-122.2928635,47.6612433,POLICE OFFICER,0,White,10,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
106,-122.290325,47.67759946,POLICE OFFICER,0,White,,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
107,-122.290325,47.67759946,POLICE OFFICER,1,White,7,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
108,-122.290325,47.67759946,POLICE OFFICER,0,White,21,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
109,-122.290325,47.67759946,POLICE OFFICER,0,White,21,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
110,-122.290325,47.67759946,POLICE LIEUTENANT,0,American Indian/Alaska Native,21,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
111,-122.290325,47.67759946,POLICE OFFICER,0,White,7,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
112,-122.290325,47.67759946,POLICE OFFICER,0,Nat Hawaiian/Oth Pac Islander,8,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
113,-122.290325,47.67759946,POLICE OFFICER,0,Hispanic or Latino,6,Multiple,0,White,1,1,1,1,No,"['PM', 'agitated male subject', 'officers', 'SWAT officer', 'Pursuit Intervention Technique', 'Avenue', 'PIT', 'attempts', 'area of NE', 'driverâ€™s door', 'SWAT contact team', 'rifle multiple times', 'businesses', 'Blue Nose rounds', 'Seattle Police Communications Center', 'miles', 'vehicles', 'Pike Place Market', 'people', 'final attempt', 'ram', 'behavior', 'movement', 'Northlake Way', 'community members', 'Burke Gilman Trail', 'Bell', 'block of', 'weapons', 'pedestrian', 'interior', 'gunpoint', 'emergency calls', 'window', 'Blanchard', 'Revenna', 'total', 'View', 'course', 'carjacking', 'scene', 'caller', 'minutes', 'airbags']","{'positive': 0.04, 'neutral': 0.07, 'negative': 0.89}",0.04,0.89
115,-122.306843,47.690321,Officer,0,White,7,3,0,Black or African American,1,1,1,1,No,"['vehicle approach', 'subjectâ€™s vehicle', 'unknown vehicle', 'passenger door', 'passenger floorboard', 'matching holster', 'convicted felon', 'right hip', 'firearm', 'residence', 'scene', 'Avenue NE', 'SEATTLE POLICE', 'area', 'surveillance', 'loud verbal commands', 'Street', 'caliber pistol', 'outer garment', 'Harborview Medical Center', 'Hands', 'bold lettering', ""subject's belt"", 'curb', 'sight', 'resources', 'assistance', 'social media', 'car', 'handgun', 'prior contacts', 'officersâ€™ view', 'Sergeant', 'hours', 'medics', 'apartment', 'weapons', 'dead', 'minute', 'ground']","{'positive': 0.03, 'neutral': 0.06, 'negative': 0.91}",0.03,0.91
116,-122.306843,47.690321,Officer,0,White,7,1,0,Black or African American,1,1,1,1,No,"['vehicle approach', 'subjectâ€™s vehicle', 'unknown vehicle', 'passenger door', 'passenger floorboard', 'matching holster', 'convicted felon', 'right hip', 'firearm', 'residence', 'scene', 'Avenue NE', 'SEATTLE POLICE', 'area', 'surveillance', 'loud verbal commands', 'Street', 'caliber pistol', 'outer garment', 'Harborview Medical Center', 'Hands', 'bold lettering', ""subject's belt"", 'curb', 'sight', 'resources', 'assistance', 'social media', 'car', 'handgun', 'prior contacts', 'officersâ€™ view', 'Sergeant', 'hours', 'medics', 'apartment', 'weapons', 'dead', 'minute', 'ground']","{'positive': 0.03, 'neutral': 0.06, 'negative': 0.91}",0.03,0.91
117,-122.3062851,47.69029952,POLICE OFFICER,0,White,7,1,0,Black or African American,1,1,1,1,No,"['ACT officers', 'residence', 'occupied vehicle', 'marked Seattle Police vehicle', 'firearm', 'NE', 'surveillance', 'occupants', 'PM', 'contact', 'patrol rifle', 'patrol shotgun', 'right forearm', 'North Precinct Anti-Crime Team', 'street', 'plain clothes', 'vests', 'jackets', 'passenger door', 'area', 'additional resources', 'dead', 'convicted felon', 'possession', 'intention', 'Harborview Medical Center', 'felony warrant', 'subjects', 'approach', 'time', 'emergency lights', 'custody', 'units', 'gunpoint', 'minute', 'ground']","{'positive': 0.01, 'neutral': 0.17, 'negative': 0.82}",0.01,0.82
118,-122.3062851,47.69029952,POLICE OFFICER,0,White,7,6,0,Black or African American,1,1,1,1,No,"['ACT officers', 'residence', 'occupied vehicle', 'marked Seattle Police vehicle', 'firearm', 'NE', 'surveillance', 'occupants', 'PM', 'contact', 'patrol rifle', 'patrol shotgun', 'right forearm', 'North Precinct Anti-Crime Team', 'street', 'plain clothes', 'vests', 'jackets', 'passenger door', 'area', 'additional resources', 'dead', 'convicted felon', 'possession', 'intention', 'Harborview Medical Center', 'felony warrant', 'subjects', 'approach', 'time', 'emergency lights', 'custody', 'units', 'gunpoint', 'minute', 'ground']","{'positive': 0.01, 'neutral': 0.17, 'negative': 0.82}",0.01,0.82
121,-122.33591,47.60434,POLICE OFFICER,1,Black or African American,3,2,0,Black or African American,1,1,1,1,No,"['female subject', 'subject multiple times', 'additional officers', 'Seattle Police Officers', 'convenience store clerk', 'subjects', 'firearm', 'SPD SWAT', 'K9 units', 'King County SWAT', 'report', 'Federal Reserve building', 'armed robbery', 'lower abdomen', 'ballistic vest', 'block', 'descriptions', 'bicycles', 'foot', 'chokehold', 'exchange of gunfire', 'Ave', 'scene', 'short pursuit', 'head', 'bottle', 'males', 'aid', 'position', 'threat', 'items', 'jaw', 'struggle', 'loading dock', 'investigative stop', 'Paramedics', 'thumb', 'pistol', 'attempts', 'custody']","{'positive': 0.02, 'neutral': 0.14, 'negative': 0.84}",0.02,0.84
122,-122.33591,47.60434,POLICE OFFICER,0,White,27,2,0,Black or African American,1,1,1,1,No,"['female subject', 'subject multiple times', 'additional officers', 'Seattle Police Officers', 'convenience store clerk', 'subjects', 'firearm', 'SPD SWAT', 'K9 units', 'King County SWAT', 'report', 'Federal Reserve building', 'armed robbery', 'lower abdomen', 'ballistic vest', 'block', 'descriptions', 'bicycles', 'foot', 'chokehold', 'exchange of gunfire', 'Ave', 'scene', 'short pursuit', 'head', 'bottle', 'males', 'aid', 'position', 'threat', 'items', 'jaw', 'struggle', 'loading dock', 'investigative stop', 'Paramedics', 'thumb', 'pistol', 'attempts', 'custody']","{'positive': 0.02, 'neutral': 0.14, 'negative': 0.84}",0.02,0.84
123,-122.33591,47.60434,POLICE OFFICER,0,White,4,2,0,Black or African American,1,1,1,1,No,"['female subject', 'subject multiple times', 'additional officers', 'Seattle Police Officers', 'convenience store clerk', 'subjects', 'firearm', 'SPD SWAT', 'K9 units', 'King County SWAT', 'report', 'Federal Reserve building', 'armed robbery', 'lower abdomen', 'ballistic vest', 'block', 'descriptions', 'bicycles', 'foot', 'chokehold', 'exchange of gunfire', 'Ave', 'scene', 'short pursuit', 'head', 'bottle', 'males', 'aid', 'position', 'threat', 'items', 'jaw', 'struggle', 'loading dock', 'investigative stop', 'Paramedics', 'thumb', 'pistol', 'attempts', 'custody']","{'positive': 0.02, 'neutral': 0.14, 'negative': 0.84}",0.02,0.84
124,-122.33591,47.60434,POLICE OFFICER PROBATION,0,Hispanic or Latino,1,2,0,Black or African American,1,1,1,1,No,"['female subject', 'subject multiple times', 'additional officers', 'Seattle Police Officers', 'convenience store clerk', 'subjects', 'firearm', 'SPD SWAT', 'K9 units', 'King County SWAT', 'report', 'Federal Reserve building', 'armed robbery', 'lower abdomen', 'ballistic vest', 'block', 'descriptions', 'bicycles', 'foot', 'chokehold', 'exchange of gunfire', 'Ave', 'scene', 'short pursuit', 'head', 'bottle', 'males', 'aid', 'position', 'threat', 'items', 'jaw', 'struggle', 'loading dock', 'investigative stop', 'Paramedics', 'thumb', 'pistol', 'attempts', 'custody']","{'positive': 0.02, 'neutral': 0.14, 'negative': 0.84}",0.02,0.84
126,-122.26223,47.67889,POLICE OFFICER,0,White,9,3,1,Black or African American,1,1,1,1,No,"['officers', 'Officer Safety Caution', 'female subject', 'Seattle Police Officer', 'living room', 'knife', 'apartment', 'door', 'resident', 'incident', 'firearm', 'scene', 'attempted therapy', 'small children', 'burglary report', 'FBI', 'National Crime Information Computer', 'routine check', 'Federal Bureau of Investigation', 'adjacent bedroom', 'NCIC', 'additional child', 'floor', 'knives', 'system', 'Department paramedics', 'entrance', 'tactics', 'large pair of scissors', 'armâ€™s reach', 'items', 'Ave Northeast', 'hearing gunfire', 'request', 'block', 'risk', 'multiple times', 'notes', 'hall entry', 'repeated commands', 'gaming consoles', 'standing position', 'subjectâ€™s hands', 'questions', 'left', 'kitchen', 'arriving', 'aid', 'commotion', 'result', 'break-', 'minutes', 'backup']","{'positive': 0.0, 'neutral': 0.1, 'negative': 0.9}",0,0.9
127,-122.26223,47.67889,POLICE OFFICER,0,White,2,4,1,Black or African American,1,1,1,1,Yes,"['officers', 'Officer Safety Caution', 'female subject', 'Seattle Police Officer', 'living room', 'knife', 'apartment', 'door', 'resident', 'incident', 'firearm', 'scene', 'attempted therapy', 'small children', 'burglary report', 'FBI', 'National Crime Information Computer', 'routine check', 'Federal Bureau of Investigation', 'adjacent bedroom', 'NCIC', 'additional child', 'floor', 'knives', 'system', 'Department paramedics', 'entrance', 'tactics', 'large pair of scissors', 'armâ€™s reach', 'items', 'Ave Northeast', 'hearing gunfire', 'request', 'block', 'risk', 'multiple times', 'notes', 'hall entry', 'repeated commands', 'gaming consoles', 'standing position', 'subjectâ€™s hands', 'questions', 'left', 'kitchen', 'arriving', 'aid', 'commotion', 'result', 'break-', 'minutes', 'backup']","{'positive': 0.0, 'neutral': 0.1, 'negative': 0.9}",0,0.9
129,-122.32711,47.63899,POLICE OFFICER,1,White,10,11,1,White,1,0,1,0,Yes,"['Seattle Police Officers', 'authorized-vehicle', 'suspicious vehicle', 'subjects', 'caller', 'incident', 'Seattle Police Communication Center', 'possession of weapons', 'Office of Police Accountability', 'reporting party', 'sharp screwdriver', 'firearm', 'occupants', 'minutes', 'investigation', 'OPA', 'alley', 'multiple sustained findings', 'license plate', 'space', 'block of Yale Avenue East', 'officersâ€™ employment', 'male', 'door handles', 'department', 'result', 'Snohomish County', 'presence', 'superficial wounds', 'degree', 'enroute', 'ground', 'event']","{'positive': 0.01, 'neutral': 0.06, 'negative': 0.93}",0.01,0.93
130,-122.32711,47.63899,POLICE OFFICER,1,White,10,11,0,White,1,0,1,0,Yes,"['Seattle Police Officers', 'authorized-vehicle', 'suspicious vehicle', 'subjects', 'caller', 'incident', 'Seattle Police Communication Center', 'possession of weapons', 'Office of Police Accountability', 'reporting party', 'sharp screwdriver', 'firearm', 'occupants', 'minutes', 'investigation', 'OPA', 'alley', 'multiple sustained findings', 'license plate', 'space', 'block of Yale Avenue East', 'officersâ€™ employment', 'male', 'door handles', 'department', 'result', 'Snohomish County', 'presence', 'superficial wounds', 'degree', 'enroute', 'ground', 'event']","{'positive': 0.01, 'neutral': 0.06, 'negative': 0.93}",0.01,0.93
131,-122.32711,47.63899,POLICE OFFICER,1,White,10,11,1,White,1,0,1,0,Yes,"['Seattle Police Officers', 'authorized-vehicle', 'suspicious vehicle', 'subjects', 'caller', 'incident', 'Seattle Police Communication Center', 'possession of weapons', 'Office of Police Accountability', 'reporting party', 'sharp screwdriver', 'firearm', 'occupants', 'minutes', 'investigation', 'OPA', 'alley', 'multiple sustained findings', 'license plate', 'space', 'block of Yale Avenue East', 'officersâ€™ employment', 'male', 'door handles', 'department', 'result', 'Snohomish County', 'presence', 'superficial wounds', 'degree', 'enroute', 'ground', 'event']","{'positive': 0.01, 'neutral': 0.06, 'negative': 0.93}",0.01,0.93
132,-122.32711,47.63899,POLICE OFFICER,0,White,3,16,1,White,1,0,1,0,Yes,"['Seattle Police Officers', 'authorized-vehicle', 'suspicious vehicle', 'subjects', 'caller', 'incident', 'Seattle Police Communication Center', 'possession of weapons', 'Office of Police Accountability', 'reporting party', 'sharp screwdriver', 'firearm', 'occupants', 'minutes', 'investigation', 'OPA', 'alley', 'multiple sustained findings', 'license plate', 'space', 'block of Yale Avenue East', 'officersâ€™ employment', 'male', 'door handles', 'department', 'result', 'Snohomish County', 'presence', 'superficial wounds', 'degree', 'enroute', 'ground', 'event']","{'positive': 0.01, 'neutral': 0.06, 'negative': 0.93}",0.01,0.93
133,-122.32711,47.63899,POLICE OFFICER,0,White,3,16,0,White,1,0,1,0,Yes,"['Seattle Police Officers', 'authorized-vehicle', 'suspicious vehicle', 'subjects', 'caller', 'incident', 'Seattle Police Communication Center', 'possession of weapons', 'Office of Police Accountability', 'reporting party', 'sharp screwdriver', 'firearm', 'occupants', 'minutes', 'investigation', 'OPA', 'alley', 'multiple sustained findings', 'license plate', 'space', 'block of Yale Avenue East', 'officersâ€™ employment', 'male', 'door handles', 'department', 'result', 'Snohomish County', 'presence', 'superficial wounds', 'degree', 'enroute', 'ground', 'event']","{'positive': 0.01, 'neutral': 0.06, 'negative': 0.93}",0.01,0.93
134,-122.32711,47.63899,POLICE OFFICER,0,White,3,16,1,White,1,0,1,0,Yes,"['Seattle Police Officers', 'authorized-vehicle', 'suspicious vehicle', 'subjects', 'caller', 'incident', 'Seattle Police Communication Center', 'possession of weapons', 'Office of Police Accountability', 'reporting party', 'sharp screwdriver', 'firearm', 'occupants', 'minutes', 'investigation', 'OPA', 'alley', 'multiple sustained findings', 'license plate', 'space', 'block of Yale Avenue East', 'officersâ€™ employment', 'male', 'door handles', 'department', 'result', 'Snohomish County', 'presence', 'superficial wounds', 'degree', 'enroute', 'ground', 'event']","{'positive': 0.01, 'neutral': 0.06, 'negative': 0.93}",0.01,0.93
135,-122.26355,47.6762,POLICE OFFICER,0,White,2,Multiple,0,White,1,1,1,1,No,"['rifle officers', 'additional officers', 'vehicle', 'subject laying', 'male subject', 'continued therapy', 'armed robbery', 'contact team', 'assault', 'firearm', 'medical aid', 'pursuit eastbound', 'wooded area', 'Harborview Medical Center', 'block of Holman Road Northwest', 'chest seals', 'Street', 'Avenue Northeast', 'tourniquets', 'Department paramedics', 'occupant', 'spotlight', 'berm', 'CPR', 'foot', 'heavy gate', 'Seattle', 'noise', 'Magnuson Park', 'subjects', 'driverâ€™s', 'direction', 'dead', 'custody', 'grass', 'window', 'feet', 'female', 'permission', 'right hip', 'officersâ€™ commands', 'bitch', 'shirt', 'minutes', 'hands', 'backup', 'incidents']","{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}",0,0.99
136,-122.26355,47.6762,POLICE OFFICER,0,White,16,Multiple,0,White,1,1,1,1,No,"['rifle officers', 'additional officers', 'vehicle', 'subject laying', 'male subject', 'continued therapy', 'armed robbery', 'contact team', 'assault', 'firearm', 'medical aid', 'pursuit eastbound', 'wooded area', 'Harborview Medical Center', 'block of Holman Road Northwest', 'chest seals', 'Street', 'Avenue Northeast', 'tourniquets', 'Department paramedics', 'occupant', 'spotlight', 'berm', 'CPR', 'foot', 'heavy gate', 'Seattle', 'noise', 'Magnuson Park', 'subjects', 'driverâ€™s', 'direction', 'dead', 'custody', 'grass', 'window', 'feet', 'female', 'permission', 'right hip', 'officersâ€™ commands', 'bitch', 'shirt', 'minutes', 'hands', 'backup', 'incidents']","{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}",0,0.99
137,-122.26355,47.6762,POLICE OFFICER,0,White,,Multiple,0,White,1,1,1,1,No,"['rifle officers', 'additional officers', 'vehicle', 'subject laying', 'male subject', 'continued therapy', 'armed robbery', 'contact team', 'assault', 'firearm', 'medical aid', 'pursuit eastbound', 'wooded area', 'Harborview Medical Center', 'block of Holman Road Northwest', 'chest seals', 'Street', 'Avenue Northeast', 'tourniquets', 'Department paramedics', 'occupant', 'spotlight', 'berm', 'CPR', 'foot', 'heavy gate', 'Seattle', 'noise', 'Magnuson Park', 'subjects', 'driverâ€™s', 'direction', 'dead', 'custody', 'grass', 'window', 'feet', 'female', 'permission', 'right hip', 'officersâ€™ commands', 'bitch', 'shirt', 'minutes', 'hands', 'backup', 'incidents']","{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}",0,0.99
138,-122.26355,47.6762,POLICE STUDENT OFFICER,0,Black or African American,< 1,Multiple,0,White,1,1,1,1,No,"['rifle officers', 'additional officers', 'vehicle', 'subject laying', 'male subject', 'continued therapy', 'armed robbery', 'contact team', 'assault', 'firearm', 'medical aid', 'pursuit eastbound', 'wooded area', 'Harborview Medical Center', 'block of Holman Road Northwest', 'chest seals', 'Street', 'Avenue Northeast', 'tourniquets', 'Department paramedics', 'occupant', 'spotlight', 'berm', 'CPR', 'foot', 'heavy gate', 'Seattle', 'noise', 'Magnuson Park', 'subjects', 'driverâ€™s', 'direction', 'dead', 'custody', 'grass', 'window', 'feet', 'female', 'permission', 'right hip', 'officersâ€™ commands', 'bitch', 'shirt', 'minutes', 'hands', 'backup', 'incidents']","{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}",0,0.99
